Family,Unit #,Region,Route #,Route Name,Flyer Ct.,Route Description
,,WEIR,2-6,GREYSTONE AVE.,70,SOMERSET AVE. (from HIGHLAND to LAWTON STS.) – ODD #s // SOMERSET AVE. (from LAWTON ST. to BAKER RD.) – All // GREYSTON AVE. – All // CRANES BILL RD. – All // CORNELL AVE. – All // ROGERS AVE. – All // BAKER RD. (EAST) – All 
,,WEIR,2-7,FIRST ST.,165,SOMERSET AVE. (from BAYLIES PARK.to BRIGGS ST.) – ODD #s // FIRST ST. (from SOMERSET AVE. to W. WEIR ST.) – All // PRESBREY CT. – All // BRADFORD PL. – All // BRIGGS ST. – All // BRIGGS PL. – All 
,,WEIR,2-8,BERKLEY ST.,150,BERKLEY ST. (from PLAIN ST. to BERKLEY LINE) – ODD #s // E. WATER ST. – All // HOOD ST. – All // SOUTHEAST ST. – All // AGAWAM ST. – All // RIVERVIEW ST. – All // COOPER ST. – All // O’KEEFE ST. – All // MECHANIC ST. – All 
,,WEIR,2-9,BERKLEY ST.,135,BERKLEY ST. (from PLAIN ST. to BERKLEY LINE) – EVEN #s // JEROME ST. (from BERKELY ST. to BERKELY LINE) – ALL LANDING DR. – All // PRATT ST. – All // HERBERT ST. – All // TALBOT AVE. – All // BARTLETT ST. – All 
,,WEIR,2-10,COUNTY ST.,65,COUNTY ST. (from WILLIAMS ST. to HART ST.) – ODD #s
,,WEIR,2-11,COUNTY ST.,60,COUNTY ST. (from the BEGINNING to WILLIAMS ST.) –All // WILLIAMS ST. (from COUNTY ST. to DONNA TERR.) – All // VILLAGE @ THE MOORLANDS (CONDOS) - All 
,,WEIR,2-12,COUNTY ST.,120,COUNTY ST. (from WILLIAMS ST. to COUNTRY VILLAGE.) – EVEN #s // JOHNSON ST. (from COUNTY ST. to COUNTY ST.) –All // EAST GLEN DR. – All // COUNTRY HILLS CONDOMINIUMS – All 
,,WEIR,2-13,SOMERSET AVE. #4,125,SOMERSET AVE. (from BAKER RD. to RAILROAD AV.) – ODD #s // SOUTH ST. – All // GOFF AVE. – All // RAILROAD AVE. (BOTH ENDS) – All 
,,WEIR,2-14,SOMERSET AVE.  #1,160,SOMERSET AVE. (from FOREST to FIFTH STS.) – EVEN #s // FIRST ST. (from WEIR ST. to SOMERSET AVE.) – All // SECOND ST. – All // CHARLES ST. – All // THIRD ST. – All // ATWOOD CT. – All // FOURTH ST. – All // FIFTH ST. – All 
,,WEIR,2-15,SOMERSET AVE. #2,150,SOMERSET AVE. (from BRIGGS to HIGHLAND STS.) – ODD #s // KNIGHT ST. – All // BILLINGS ST. – All // GODFREY ST. – All // MARVEL ST. – All // HIGHLAND ST. (from MARVEL to SOMERSET AVE.) – All // DEXTER AVE. – All // NICKERSON AVE. – All 
,,WEIR,2-16,SOMERSET AVE. #3,50,SOMERSET AVE. (from 5TH ST. to BAKER RD.) – EVEN #s // SIXTH ST. – All // SEVENTH ST. – All // CLAY ST. – ALL EIGHTH ST. – All 
,,WEIR,2-17,SOMERSET AVE. #5,70,SOMERSET AV. (from BAKER RD. to SOUTH ST.) – EVEN #s // LAWTON ST. – All // SUNHILL RD. – All // BLAKE ST. - All // BOYLSTON RD. – All // HUTTINGTON AVE. – All // CLARENDON AVE. – All // COMMONWEALTH AVE. – All // HOBSON AVE. – All 
,,WEIR,2-18,SOMERSET AVE.,60,SOMERSET AVE. (from SOUTH ST. to DIGHTON LINE) - EVEN #s // SOMERSET AVE. (from RAILROAD AV. to DIGHTON LINE) - ODD #s // OAKRIDGE DR. – All // OAKRIDGE PL. – All // RIVERFIELD ST. – All 
,,WEIR,2-19,WEIR ST.,120,WEIR ST. (from SOMERSET AVE. to FIRST ST.) – All // WHITE ST. (from WEIR ST. to SOMERSET AVE.) – All // FOREST ST. – All // PARKIN CT. – All // FAY ST. – All // SOMERSET AVE. (from WEIR to FIRST STS.) – EVEN #s
